word,score,postags
positive,2.7501054362812267,"s, a, n"
significant,2.759996628416254,"s, a"
extra,2.759996628416254,"s, n, r"
quick,2.759996628416254,"s, n, r"
minute,2.759996628416254,"s, n"
additional,2.759996628416254,s
winning,2.759996628416254,"s, n, v"
posted,2.770118356253501,"a, v"
favorite,2.770118356253501,"s, n"
clean,2.770118356253501,"a, r, s, n, v"
sold,2.770118356253501,"a, v"
designed,2.7800051616715837,"a, v"
heavy,2.7800051616715837,"s, a, n, r"
wide,2.7800051616715837,"s, a, r"
subject,2.7800051616715837,"s, n, v"
continued,2.7800051616715837,"a, v"
material,2.7901222959631244,"s, a, n"
plus,2.7901222959631244,"s, a, n"
regular,2.7901222959631244,"s, a, n"
german,2.7901222959631244,"a, n"
fit,2.7901222959631244,"s, a, n, v"
interested,2.7901222959631244,"s, a, v"
global,2.7901222959631244,s
opening,2.7999818449923373,"a, n, v"
stupid,2.7999818449923373,"s, a, n"
hurt,2.7999818449923373,"s, n, v"
successful,2.7999818449923373,a
pro,2.7999818449923373,"a, n, r"
physical,2.7999818449923373,"s, a"
growing,2.7999818449923373,"a, n, v"
finished,2.7999818449923373,"s, a, v"
annual,2.7999818449923373,"s, a, n"
active,2.8100704399154113,"s, a, n"
stock,2.8100704399154113,"s, n, v"
biggest,2.8100704399154113,"s, a"
civil,2.8100704399154113,"s, a"
independent,2.8100704399154113,"s, a, n"
australian,2.8100704399154113,"a, n"
worst,2.8100704399154113,"a, r, s, n, v"
none,2.8100704399154113,"s, n, r"
master,2.8100704399154113,"s, n, v"
awesome,2.8198766737092757,s
older,2.8198766737092757,"s, a"
multiple,2.8198766737092757,"a, n"
fighting,2.8198766737092757,"s, n, v"
senior,2.8198766737092757,"s, a, n"
ended,2.8198766737092757,"s, v"
latest,2.8198766737092757,"s, a, n"
telling,2.8198766737092757,"s, n, v"
commercial,2.8198766737092757,"s, a, n"
secret,2.8198766737092757,"s, n"
grand,2.8299094544059313,"s, n"
rich,2.8299094544059313,"s, a, n"
sweet,2.8299094544059313,"s, a, n, r"
indian,2.8299094544059313,"a, n"
supposed,2.8299094544059313,"s, v"
speaking,2.8299094544059313,"a, n, v"
necessary,2.8299094544059313,"s, a, n"
direct,2.8299094544059313,"s, a, v, r"
color,2.8299094544059313,"a, n, v"
k,2.8299094544059313,"s, n"
glad,2.840179497572904,"s, a, n"
